Name,Address,total_enrollment_fall_2019,vaccination_required_everyone,Latitude,Longitude,City,State,County,Zip
Ohio State University-Main Campus,"190 N. Oval Mall, Columbus, Ohio 43210",61391,NO,40.000893,-83.011545,Columbus,OH,Franklin County,43210
University of Cincinnati,"2624 Clifton Avenue, Cincinnati, Ohio 45221-0063",39263,NO,39.135177,-84.520074,Cincinnati,OH,Hamilton County,45221
University of Kentucky,"South Limestone, Lexington, Kentucky 40506-0032",29402,NO,38.030248,-84.510073,Lexington,KY,Fayette County,40503
Kent State University at Kent,"Executive Office, 2nd Floor Library, Kent, Ohio 44242-0001",27716,NO,41.170006,-81.196615,Kent,OH,Portage County,44242
Ohio University-Main Campus,"020 Chubb Hall, Athens, Ohio 45701-2979",27367,NO,39.339279,-82.013803,Athens,OH,Athens County,45701
West Virginia University,"PO Box 6201, Morgantown, West Virginia 26506",26839,NO,39.645276,-79.962669,Morgantown,WV,Monongalia County,26506
University of Louisville,"2301 S 3rd St, Louisville, Kentucky 40292-0001",21670,NO,38.215024,-85.760145,Louisville,KY,Jefferson County,40208
Miami University-Oxford,"501 East High St, Oxford, Ohio 45056",19716,NO,39.509786,-84.735223,Oxford,OH,Butler County,45056
University of Toledo,"2801 W Bancroft, Toledo, Ohio 43606-3390",19694,NO,41.659888,-83.613729,Toledo,OH,Lucas County,43606
Western Kentucky University,"1906 College Heights Blvd, Bowling Green, Kentucky 42101-1000",18171,NO,36.987112,-86.449825,Bowling Green,KY,Warren County,42101
Bowling Green State University,"220 McFall Ctr, Bowling Green, Ohio 43403",17733,NO,41.376979,-83.637118,Bowling Green,OH,Wood County,43403
University of Akron Main Campus,"302 Buchtel Common, Akron, Ohio 44325-4702",17600,NO,41.07601,-81.511138,Akron,OH,Summit County,44325
University of the Cumberlands,"6191 College Station Drive, Williamsburg, Kentucky 40769",16966,NO,36.735888,-84.164997,Williamsburg,KY,Whitley County,40769
Northern Kentucky University,"Nunn Drive, Highland Heights, Kentucky 41099",15664,NO,39.035893,-84.468189,Newport,KY,Campbell County,41099
Cleveland State University,"2121 Euclid Avenue, Cleveland, Ohio 44115-2214",15433,Yes,41.502208,-81.675316,Cleveland,OH,Cuyahoga County,44115
Eastern Kentucky University,"521 Lancaster Ave, Richmond, Kentucky 40475-3102",14980,NO,37.74313,-84.301045,Richmond,KY,Madison County,40475
Marshall University,"1 John Marshall Dr, Huntington, West Virginia 25755",12852,NO,38.422574,-82.430742,Huntington,WV,Cabell County,25755
Campbellsville University,"1 University Dr, Campbellsville, Kentucky 42718-2799",12381,NO,37.344444,-85.347982,Campbellsville,KY,Taylor County,42718
Wright State University-Main Campus,"3640 Colonel Glenn Highway, Dayton, Ohio 45435-0001",12356,NO,39.782158,-84.067154,Beavercreek,OH,Greene County,45324
Youngstown State University,"One University Plaza, Youngstown, Ohio 44555-0001",12110,NO,41.095631,-80.713688,Youngstown,OH,Mahoning County,44515
Case Western Reserve University,"10900 Euclid Ave, Cleveland, Ohio 44106",11874,NO,41.500914,-81.60621,Cleveland,OH,Cuyahoga County,44106
University of Dayton,"300 College Park, Dayton, Ohio 45469",11473,NO,39.740274,-84.180202,Dayton,OH,Montgomery County,45409
Morehead State University,"University Blvd, Morehead, Kentucky 40351",9654,NO,38.188216,-83.430755,Morehead,KY,Rowan County,40351
Murray State University,"218 Wells Hall, Murray, Kentucky 42071-3318",9556,NO,36.625349,-88.279562,Murray,KY,Calloway County,42071
Xavier University,"3800 Victory Parkway, Cincinnati, Ohio 45207-1092",6973,NO,39.148566,-84.476351,Cincinnati,OH,Hamilton County,45207
